"link","type","code", "crs"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_1.tif","LC Consensus","Evergreen/Deciduous Needleleaf Trees_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_10.tif","LC Consensus","Evergreen Broadleaf Trees_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_11.tif","LC Consensus","Deciduous Broadleaf Trees_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_12.tif","LC Consensus","Mixed/Other Trees_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_2.tif","LC Consensus","Shrubs_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_3.tif","LC Consensus","Herbaceous Vegetation_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_4.tif","LC Consensus","Cultivated and Managed Vegetation_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_5.tif","LC Consensus","Regularly Flooded Vegetation_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_6.tif","LC Consensus","Urban/Built-up_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_7.tif","LC Consensus","Snow/Ice_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_8.tif","LC Consensus","Barren_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_9.tif","LC Consensus","Open Water_1km_reduced", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_CloudForestPrediction.tif","Cloud Cover","Cloud Forest Prediction", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_interannualSD.tif","Cloud Cover","Inter-annual variability (SD)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_intraannualSD.tif","Cloud Cover","Intra-Annual variability (SD)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_meanannual.tif","Cloud Cover","Mean annual", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_01.tif","Cloud Cover","January mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_02.tif","Cloud Cover","February mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_03.tif","Cloud Cover","March mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_04.tif","Cloud Cover","April mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_05.tif","Cloud Cover","May mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_06.tif","Cloud Cover","June mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_07.tif","Cloud Cover","July mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_08.tif","Cloud Cover","August mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_09.tif","Cloud Cover","September mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_10.tif","Cloud Cover","October mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_11.tif","Cloud Cover","November mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_monthlymean_12.tif","Cloud Cover","December mean", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_seasonality_concentration.tif","Cloud Cover","Seasonality concentration", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_seasonality_rgb.tif","Cloud Cover","Seasonality RGB", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_seasonality_theta.tif","Cloud Cover","Seasonality theta", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_seasonality_visct.tif","Cloud Cover","Seasonality single band with color table", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/cloud/MODCF_spatialSD_1deg.tif","Cloud Cover","Spatial variability (1 degree SD)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/elevation.nc","Freshwater ecosystems","Monthly minimum temperature (average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/flow_acc.nc","Freshwater ecosystems","Monthly maximum temperature (average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/geology_weighted_sum.nc","Freshwater ecosystems","Monthly upstream precipitation (sum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/hydroclim_average+sum.nc","Freshwater ecosystems","Monthly minimum temperature (distance-weighted average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/hydroclim_weighted_average+sum.nc","Freshwater ecosystems","Monthly maximum temperature (distance-weighted average)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/landcover_average.nc","Freshwater ecosystems","Monthly upstream precipitation (distance-weighted sum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/landcover_maximum.nc","Freshwater ecosystems","Hydroclimatic variables (average and sum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/landcover_minimum.nc","Freshwater ecosystems","Hydroclimatic variables (distance-weighted average and sum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/landcover_range.nc","Freshwater ecosystems","Upstream elevation (min, max, range, avg)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/landcover_weighted_average.nc","Freshwater ecosystems","Upstream slope (min, max, range, avg)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/monthly_prec_sum.nc","Freshwater ecosystems","Stream length and flow accumulation", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/monthly_prec_weighted_sum.nc","Freshwater ecosystems","Upstream landcover coverage (minimum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/streams/monthly_tmax_average.nc","Freshwater ecosystems","Upstream landcover coverage (maximum)", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
