"x","y","date","time","x.1","y.1","optional"
494877.5238,5288667.784,"2013/08/04","11:10:06",494877.5238,5288667.784,1
494875.5017,5288669.675,"2013/08/04","11:15:06",494875.5017,5288669.675,1
494877.4663,5288662.116,"2013/08/04","11:20:07",494877.4663,5288662.116,1
494875.2683,5288668.453,"2013/08/04","11:25:07",494875.2683,5288668.453,1
494876.5023,5288665.34,"2013/08/04","11:30:06",494876.5023,5288665.34,1
494872.5215,5288664.565,"2013/08/04","11:35:06",494872.5215,5288664.565,1
494873.0018,5288673.678,"2013/08/04","11:40:07",494873.0018,5288673.678,1
494877.3952,5288675.008,"2013/08/04","11:45:07",494877.3952,5288675.008,1
494876.5106,5288666.34,"2013/08/04","11:50:07",494876.5106,5288666.34,1
494874.5561,5288668.342,"2013/08/04","11:55:07",494874.5561,5288668.342,1
494871.5828,5288671.012,"2013/08/04","12:00:07",494871.5828,5288671.012,1
